Rank,Club,Stat
1,     Fulham ,15
2,     Tottenham Hotspur ,15
3,     Liverpool ,13
4,     Arsenal ,12
5,     Manchester City ,12
6,     Brentford ,10
7,     Brighton & Hove Albion ,10
8,     Newcastle United ,10
9,     Leeds United ,9
10,     West Ham United ,8
11,     Crystal Palace ,7
12,     Manchester United ,7
13,     Nottingham Forest ,7
14,     Aston Villa ,6
15,     Southampton ,6
16,     Bournemouth ,5
17,     Chelsea ,5
18,     Everton ,5
19,     Leicester City ,3
20,     Wolverhampton Wanderers ,2
