Rank,Club,Stat
1,     Manchester City ,82
2,     Arsenal ,79
3,     Liverpool ,67
4,     Brighton & Hove Albion ,63
5,     Tottenham Hotspur ,60
6,     Newcastle United ,56
7,     Manchester United ,53
8,     Brentford ,52
9,     Fulham ,50
10,     Aston Villa ,44
11,     Leeds United ,41
12,     Leicester City ,40
13,     Nottingham Forest ,36
14,     Crystal Palace ,35
15,     Bournemouth ,34
16,     West Ham United ,34
17,     Chelsea ,33
18,     Everton ,29
19,     Southampton ,28
20,     Wolverhampton Wanderers ,28
