Rank,Club,Stat
1,     Newcastle United ,14
2,     Manchester City ,13
3,     Leicester City ,11
4,     Tottenham Hotspur ,10
5,     Arsenal ,9
6,     Brighton & Hove Albion ,9
7,     Liverpool ,8
8,     Southampton ,8
9,     West Ham United ,8
10,     Aston Villa ,7
11,     Leeds United ,7
12,     Brentford ,6
13,     Chelsea ,6
14,     Everton ,6
15,     Fulham ,6
16,     Crystal Palace ,5
17,     Manchester United ,5
18,     Wolverhampton Wanderers ,4
19,     Bournemouth ,3
20,     Nottingham Forest ,2
