Rank,Club,Stat
1,     Newcastle United ,26
2,     Aston Villa ,21
3,     Manchester United ,20
4,     Manchester City ,19
5,     Tottenham Hotspur ,17
6,     Brighton & Hove Albion ,16
7,     Liverpool ,16
8,     West Ham United ,16
9,     Arsenal ,15
10,     Chelsea ,15
11,     Fulham ,15
12,     Leicester City ,13
13,     Southampton ,11
14,     Brentford ,10
15,     Crystal Palace ,10
16,     Nottingham Forest ,9
17,     Everton ,6
18,     Leeds United ,6
19,     Wolverhampton Wanderers ,6
20,     Bournemouth ,5
