Rank,Club,Stat
1,     Liverpool ,84
2,     Leicester City ,83
3,     Manchester United ,80
4,     Chelsea ,74
5,     Brentford ,72
6,     Newcastle United ,71
7,     Brighton & Hove Albion ,70
8,     Nottingham Forest ,67
9,     Tottenham Hotspur ,67
10,     Everton ,64
11,     West Ham United ,62
12,     Wolverhampton Wanderers ,62
13,     Fulham ,60
14,     Leeds United ,60
15,     Aston Villa ,58
16,     Crystal Palace ,58
17,     Southampton ,57
18,     Arsenal ,56
19,     Manchester City ,51
20,     Bournemouth ,38
