Rank,Club,Stat
1,     Brighton & Hove Albion ,232
2,     Manchester City ,219
3,     Manchester United ,215
4,     Liverpool ,212
5,     Arsenal ,204
6,     Tottenham Hotspur ,199
7,     Newcastle United ,197
8,     Brentford ,162
9,     Chelsea ,159
10,     Everton ,152
11,     Leicester City ,152
12,     Aston Villa ,151
13,     Fulham ,149
14,     Leeds United ,145
15,     West Ham United ,145
16,     Southampton ,142
17,     Crystal Palace ,136
18,     Bournemouth ,133
19,     Wolverhampton Wanderers ,126
20,     Nottingham Forest ,118
