Rank,Club,Stat
1,     Brighton & Hove Albion ,613
2,     Liverpool ,605
3,     Manchester City ,600
4,     Arsenal ,593
5,     Manchester United ,593
6,     Newcastle United ,571
7,     Tottenham Hotspur ,518
8,     Chelsea ,484
9,     West Ham United ,474
10,     Leeds United ,462
11,     Aston Villa ,431
12,     Everton ,429
13,     Fulham ,429
14,     Crystal Palace ,426
15,     Leicester City ,418
16,     Southampton ,417
17,     Wolverhampton Wanderers ,412
18,     Brentford ,408
19,     Nottingham Forest ,368
20,     Bournemouth ,358
