Rank,Club,Stat
1,     Everton ,180
2,     Wolverhampton Wanderers ,175
3,     Bournemouth ,170
4,     Leicester City ,170
5,     Brentford ,168
6,     Southampton ,165
7,     Nottingham Forest ,156
8,     Tottenham Hotspur ,148
9,     Manchester United ,146
10,     West Ham United ,139
11,     Leeds United ,131
12,     Fulham ,125
13,     Crystal Palace ,119
14,     Aston Villa ,118
15,     Newcastle United ,116
16,     Chelsea ,108
17,     Brighton & Hove Albion ,104
18,     Manchester City ,95
19,     Arsenal ,86
20,     Liverpool ,74
