Rank,Club,Stat
1,     Manchester United ,17
2,     Arsenal ,14
3,     Liverpool ,14
4,     Newcastle United ,14
5,     Manchester City ,13
6,     Aston Villa ,12
7,     Brentford ,12
8,     Brighton & Hove Albion ,12
9,     Wolverhampton Wanderers ,11
10,     Chelsea ,10
11,     Tottenham Hotspur ,10
12,     Crystal Palace ,9
13,     Everton ,9
14,     Fulham ,9
15,     West Ham United ,9
16,     Bournemouth ,8
17,     Nottingham Forest ,8
18,     Leicester City ,7
19,     Leeds United ,5
20,     Southampton ,4
