Rank,Club,Stat
1,     Bournemouth ,971
2,     Nottingham Forest ,892
3,     Everton ,829
4,     Southampton ,826
5,     Crystal Palace ,788
6,     Wolverhampton Wanderers ,780
7,     West Ham United ,779
8,     Brentford ,770
9,     Manchester United ,734
10,     Tottenham Hotspur ,725
11,     Leicester City ,723
12,     Fulham ,714
13,     Leeds United ,709
14,     Aston Villa ,663
15,     Newcastle United ,646
16,     Chelsea ,628
17,     Arsenal ,567
18,     Liverpool ,540
19,     Brighton & Hove Albion ,412
20,     Manchester City ,391
