Rank,Club,Stat
1,     Fulham ,7
2,     Bournemouth ,6
3,     Brighton & Hove Albion ,6
4,     Nottingham Forest ,6
5,     Aston Villa ,5
6,     Everton ,5
7,     Leeds United ,5
8,     Crystal Palace ,4
9,     Leicester City ,4
10,     West Ham United ,4
11,     Arsenal ,3
12,     Manchester City ,3
13,     Tottenham Hotspur ,3
14,     Brentford ,2
15,     Liverpool ,2
16,     Manchester United ,2
17,     Newcastle United ,2
18,     Southampton ,2
19,     Wolverhampton Wanderers ,2
20,     Chelsea ,1
