Rank,Club,Stat
1,     Leeds United ,78
2,     Southampton ,73
3,     Bournemouth ,71
4,     Leicester City ,68
5,     Nottingham Forest ,68
6,     Tottenham Hotspur ,63
7,     Wolverhampton Wanderers ,58
8,     Everton ,57
9,     West Ham United ,55
10,     Brighton & Hove Albion ,53
11,     Fulham ,53
12,     Crystal Palace ,50
13,     Liverpool ,49
14,     Chelsea ,47
15,     Aston Villa ,46
16,     Brentford ,46
17,     Arsenal ,43
18,     Manchester United ,43
19,     Manchester City ,33
20,     Newcastle United ,33
