Rank,Club,Stat
1,     Southampton ,428
2,     West Ham United ,408
3,     Leeds United ,392
4,     Everton ,390
5,     Leicester City ,367
6,     Crystal Palace ,359
7,     Bournemouth ,353
8,     Manchester United ,352
9,     Nottingham Forest ,349
10,     Brentford ,341
11,     Chelsea ,341
12,     Fulham ,340
13,     Tottenham Hotspur ,340
14,     Liverpool ,333
15,     Newcastle United ,333
16,     Aston Villa ,324
17,     Brighton & Hove Albion ,303
18,     Wolverhampton Wanderers ,279
19,     Arsenal ,237
20,     Manchester City ,223
