Rank,Club,Stat
1,     Brentford ,154
2,     Fulham ,146
3,     Bournemouth ,136
4,     Everton ,128
5,     Wolverhampton Wanderers ,119
6,     West Ham United ,117
7,     Chelsea ,116
8,     Crystal Palace ,116
9,     Leicester City ,116
10,     Nottingham Forest ,115
11,     Liverpool ,114
12,     Tottenham Hotspur ,111
13,     Leeds United ,110
14,     Aston Villa ,109
15,     Manchester United ,101
16,     Newcastle United ,97
17,     Arsenal ,95
18,     Brighton & Hove Albion ,85
19,     Southampton ,83
20,     Manchester City ,60
