Rank,Club,Stat
1,     Leeds United ,840
2,     Chelsea ,740
3,     Southampton ,713
4,     Everton ,708
5,     Leicester City ,700
6,     Crystal Palace ,690
7,     Wolverhampton Wanderers ,661
8,     Nottingham Forest ,660
9,     Manchester United ,658
10,     Aston Villa ,632
11,     Fulham ,624
12,     Bournemouth ,618
13,     Tottenham Hotspur ,617
14,     Brighton & Hove Albion ,616
15,     Newcastle United ,607
16,     West Ham United ,607
17,     Liverpool ,590
18,     Brentford ,587
19,     Arsenal ,568
20,     Manchester City ,471
