Rank,Club,Stat
1,     Manchester City ,4236
2,     Liverpool ,3416
3,     Brighton & Hove Albion ,3374
4,     Chelsea ,3286
5,     Manchester United ,3148
6,     Arsenal ,3031
7,     Wolverhampton Wanderers ,2681
8,     Tottenham Hotspur ,2662
9,     Crystal Palace ,2644
10,     Aston Villa ,2576
11,     Leicester City ,2552
12,     Fulham ,2493
13,     Southampton ,2481
14,     Newcastle United ,2266
15,     Leeds United ,2230
16,     Brentford ,2222
17,     Everton ,2195
18,     Bournemouth ,2147
19,     West Ham United ,2092
20,     Nottingham Forest ,1763
