Rank,Club,Stat
1,     Liverpool ,799
2,     Fulham ,769
3,     West Ham United ,769
4,     Manchester City ,742
5,     Newcastle United ,740
6,     Tottenham Hotspur ,719
7,     Everton ,704
8,     Brighton & Hove Albion ,694
9,     Chelsea ,693
10,     Arsenal ,674
11,     Brentford ,661
12,     Wolverhampton Wanderers ,661
13,     Leeds United ,653
14,     Southampton ,613
15,     Crystal Palace ,591
16,     Aston Villa ,561
17,     Nottingham Forest ,532
18,     Manchester United ,516
19,     Bournemouth ,512
20,     Leicester City ,496
