Rank,Club,Stat
1,     Brentford ,2312
2,     Everton ,2280
3,     Liverpool ,2186
4,     Wolverhampton Wanderers ,2152
5,     Crystal Palace ,2145
6,     Southampton ,2096
7,     Nottingham Forest ,2094
8,     West Ham United ,2002
9,     Fulham ,1987
10,     Manchester United ,1963
11,     Leeds United ,1946
12,     Newcastle United ,1943
13,     Aston Villa ,1942
14,     Bournemouth ,1935
15,     Tottenham Hotspur ,1900
16,     Leicester City ,1868
17,     Manchester City ,1758
18,     Chelsea ,1744
19,     Arsenal ,1721
20,     Brighton & Hove Albion ,1710
