Rank,Club,Stat
1,     Manchester City ,25072
2,     Liverpool ,22401
3,     Brighton & Hove Albion ,21280
4,     Chelsea ,21149
5,     Arsenal ,20450
6,     Manchester United ,19086
7,     Tottenham Hotspur ,18042
8,     Leicester City ,17365
9,     Wolverhampton Wanderers ,16712
10,     Fulham ,16197
11,     Newcastle United ,16052
12,     Aston Villa ,15940
13,     Crystal Palace ,15707
14,     Leeds United ,15160
15,     Southampton ,14796
16,     West Ham United ,14638
17,     Everton ,14152
18,     Bournemouth ,13931
19,     Brentford ,13920
20,     Nottingham Forest ,12091
