Rank,Club,Stat
1,     Manchester United ,105
2,     Liverpool ,103
3,     Manchester City ,94
4,     Newcastle United ,88
5,     Arsenal ,86
6,     Brighton & Hove Albion ,81
7,     Leicester City ,76
8,     Tottenham Hotspur ,74
9,     Chelsea ,58
10,     Aston Villa ,54
11,     Brentford ,53
12,     Bournemouth ,49
13,     Wolverhampton Wanderers ,49
14,     Crystal Palace ,41
15,     Leeds United ,41
16,     West Ham United ,41
17,     Everton ,39
18,     Southampton ,38
19,     Nottingham Forest ,31
20,     Fulham ,20
