Rank,Player,Club,Nationality,Stat
1,   David de Gea ,     Manchester United    ,    Spain   ,17
2,   Alisson ,     Liverpool    ,    Brazil   ,14
2,   Nick Pope ,     Newcastle United    ,    England   ,14
2,   Aaron Ramsdale ,     Arsenal    ,    England   ,14
5,   David Raya ,     Brentford    ,    Spain   ,12
6,   José Sá ,     Wolverhampton Wanderers    ,    Portugal   ,11
6,   Emiliano Martínez ,     Aston Villa    ,    Argentina   ,11
6,   Ederson ,     Manchester City    ,    Brazil   ,11
9,   Kepa Arrizabalaga ,     Chelsea    ,    Spain   ,9
10,   Lukasz Fabianski ,     West Ham United    ,    Poland   ,8
10,   Bernd Leno ,     Fulham    ,    Germany   ,8
10,   Jordan Pickford ,     Everton    ,    England   ,8
13,   Hugo Lloris ,     Tottenham Hotspur    ,    France   ,7
14,   Vicente Guaita ,     Crystal Palace    ,    Spain   ,6
14,   Dean Henderson ,     Nottingham Forest    ,    England   ,6
14,   Neto ,     Bournemouth    ,    Brazil   ,6
14,   Robert Sánchez ,     Brighton & Hove Albion    ,    Spain   ,6
14,   Jason Steele ,     Brighton & Hove Albion    ,    England   ,6
14,   Danny Ward ,     Leicester City    ,    Wales   ,6
20,   Illan Meslier ,     Leeds United    ,    France   ,5
21,   Gavin Bazunu ,     Southampton    ,    Ireland   ,4
22,   Fraser Forster ,     Tottenham Hotspur    ,    England   ,3
22,   Sam Johnstone ,     Crystal Palace    ,    England   ,3
24,   Stefan Ortega ,     Manchester City    ,    Germany   ,2
24,   Mark Travers ,     Bournemouth    ,    Ireland   ,2
26,   Asmir Begovic ,     Everton    ,    Bosnia & Herzegovina   ,1
26,   Daniel Iversen ,     Leicester City    ,    Denmark   ,1
26,   Édouard Mendy ,     Chelsea    ,    Senegal   ,1
26,   Keylor Navas ,     Nottingham Forest    ,    Costa Rica   ,1
26,   Robin Olsen ,     Aston Villa    ,    Sweden   ,1
26,   Marek Rodák ,   -  ,    Slovakia   ,1
