Rank,Club,Goals,Shots on Target,Goals Inside Box,Goals Outside Box,Goals Penalty,Hit Woodwork,Offsides,Shots,Goals Free Kick,Goal Header
1,     Manchester United ,10,215,53,5,3,20,80,593,,7
2,     Liverpool ,7,212,67,8,2,16,84,605,1,13
3,     Manchester City ,7,219,82,13,9,19,51,600,2,12
4,     Brentford ,6,162,52,6,7,10,72,408,2,10
5,     Aston Villa ,5,151,44,7,3,21,58,431,2,6
6,     Crystal Palace ,5,136,35,5,1,10,58,426,1,7
7,     Newcastle United ,5,197,56,14,6,26,71,571,1,10
8,     Southampton ,5,142,28,8,2,11,57,417,3,6
9,     Wolverhampton Wanderers ,5,126,28,4,3,6,62,412,,2
10,     Arsenal ,4,204,79,9,3,15,56,593,,12
11,     Everton ,4,152,29,6,3,6,64,429,,5
12,     Leicester City ,4,152,40,11,3,13,83,418,2,3
13,     Tottenham Hotspur ,4,199,60,10,5,17,67,518,,15
14,     Brighton & Hove Albion ,3,232,63,9,6,16,70,613,1,10
15,     Fulham ,3,149,50,6,5,15,60,429,1,15
16,     Nottingham Forest ,3,118,36,2,3,9,67,368,,7
17,     Leeds United ,2,145,41,7,1,6,60,462,,9
18,     Bournemouth ,1,133,34,3,,5,38,358,,5
19,     Chelsea ,1,159,33,6,3,15,74,484,1,5
20,     West Ham United ,1,145,34,8,6,16,62,474,,8
