Rank,Club,Backward Passes,Crosses,Long Ball,Passes,Through Ball
1,     Manchester City ,4236,742,1758,25072,94
2,     Liverpool ,3416,799,2186,22401,103
3,     Brighton & Hove Albion ,3374,694,1710,21280,81
4,     Chelsea ,3286,693,1744,21149,58
5,     Arsenal ,3031,674,1721,20450,86
6,     Manchester United ,3148,516,1963,19086,105
7,     Tottenham Hotspur ,2662,719,1900,18042,74
8,     Leicester City ,2552,496,1868,17365,76
9,     Wolverhampton Wanderers ,2681,661,2152,16712,49
10,     Fulham ,2493,769,1987,16197,20
11,     Newcastle United ,2266,740,1943,16052,88
12,     Aston Villa ,2576,561,1942,15940,54
13,     Crystal Palace ,2644,591,2145,15707,41
14,     Leeds United ,2230,653,1946,15160,41
15,     Southampton ,2481,613,2096,14796,38
16,     West Ham United ,2092,769,2002,14638,41
17,     Everton ,2195,704,2280,14152,39
18,     Bournemouth ,2147,512,1935,13931,49
19,     Brentford ,2222,661,2312,13920,53
20,     Nottingham Forest ,1763,532,2094,12091,31
